adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000010795-18-000036	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	1	0930	10-K	20180930	2018	FY	20181121	2018-11-21 15:35:00.0	0	1	bdx-20180930.xml	1	
0000011199-18-000045	11199	BEMIS CO INC	2670	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		(920) 727-4100	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		US	MO	430178130			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181026	2018-10-26 16:02:00.0	0	1	bms-20180930.xml	1	
0000011544-18-000089	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 16:10:00.0	0	1	wrb-20180930.xml	1	
0000012208-18-000048	12208	BIO-RAD LABORATORIES, INC.	3826	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		5107247000	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		US	DE	941381833	BIO RAD LABORATORIES INC	19920703	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-02 19:47:00.0	0	1	a10q93018_htm.xml	1	
0000012400-18-000016	12400	BLACK HILLS POWER INC	4911	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	6057212343	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	US	SD	460111677	BLACK HILLS CORP	19920703	4-NON	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-06 17:49:00.0	0	1	bkh-20180930.xml	1	
0000012927-18-000065	12927	BOEING CO	3721	US	WA	SEATTLE	98124	P O BOX 3707 MS 1F 31		312-544-2000	US	IL	CHICAGO	60606-1596	100 N RIVERSIDE PLZ		US	DE	910425694	BOEING AIRPLANE CO	19730725	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181024	2018-10-24 13:39:00.0	0	1	a201809sep3010-q_htm.xml	1	
0000013239-18-000023	13239	HEXION INC.	2821	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	6142254000	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	US	NJ	130511250	MOMENTIVE SPECIALTY CHEMICALS INC.	20101008	4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 16:45:00.0	0	1	msc-20180930.xml	1	
0000014195-18-000043	14195	BRIGGS & STRATTON CORP	3510	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		4142595333	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		US	WI	390182330			1-LAF	0	0630	10-Q	20180930	2019	Q1	20181106	2018-11-06 15:19:00.0	0	1	bgg-20180930.xml	1	
0000014272-18-000197	14272	BRISTOL MYERS SQUIBB CO	2834	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	2125464000	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	US	DE	220790350	BRISTOL MYERS CO	19891012	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 11:36:00.0	0	1	bmy-20180930.xml	1	
0000014693-18-000176	14693	BROWN FORMAN CORP	2080	US	KY	LOUISVILLE	40210	850 DIXIE HWY		5025851100	US	KY	LOUISVILLE	40201	P O BOX 1080		US	DE	610143150	BROWN FORMAN INC	19870816	1-LAF	0	0430	10-Q	20181031	2019	Q2	20181206	2018-12-06 06:03:00.0	0	1	bfb-20181031.xml	1	
0000014707-18-000050	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	10-Q	20181031	2018	Q3	20181212	2018-12-12 16:35:00.0	0	1	cal-20181103.xml	1	
0000014846-18-000041	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	2-ACC	0	0930	10-K	20180930	2018	FY	20181210	2018-12-10 17:33:00.0	0	1	brt-20180930_htm.xml	1	
0000014930-18-000148	14930	BRUNSWICK CORP	3510	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		8477354700	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181031	2018-10-31 13:45:00.0	0	1	bc-20180929.xml	1	
0000015615-18-000036	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181101	2018-11-01 17:06:00.0	0	1	mtz-20180930.xml	1	
0000016099-18-000141	16099	LUBYS INC	5812	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	(713) 329 6800	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	US	DE	741335253	LUBYS CAFETERIAS INC	19920703	2-ACC	0	0831	10-K	20180831	2018	FY	20181116	2018-11-16 16:47:00.0	0	1	lub-20180829.xml	1	
0000016160-18-000096	16160	CAL-MAINE FOODS INC	0200	US	MS	JACKSON	39209	3320 WOODROW WILSON DRIVE		6019486813	US	MS	JACKSON	39209	3320 WOODROW WILSON DR		US	DE	640500378	CAL MAINE FOODS INC	19961018	1-LAF	0	0531	10-Q	20180831	2019	Q1	20181001	2018-10-01 09:22:00.0	0	1	calm-20180901.xml	1	
0000016732-18-000085	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	0	0731	10-Q	20181031	2019	Q1	20181206	2018-12-06 08:55:00.0	0	1	cpb-20181028.xml	1	
0000016875-18-000120	16875	CANADIAN PACIFIC RAILWAY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.				980355078	CANADIAN PACIFIC LTD	19930507	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181019	2018-10-18 19:13:00.0	0	1	q32018quarterlyreport-_htm.xml	1	
0000016918-18-000074	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	585-678-7100	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0228	10-Q	20180831	2019	Q2	20181004	2018-10-04 16:36:00.0	0	1	stz-20180831.xml	1	
0000017843-18-000064	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	6102082000	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	US	DE	230458500			1-LAF	0	0630	10-Q	20180930	2019	Q1	20181024	2018-10-24 16:30:00.0	0	1	crs-20180930.xml	1	
0000018172-18-000032	18172	CASTLE A M & CO	5051	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	8474557111	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	US	MD	360879160			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-13 18:42:00.0	0	1	ctam-20180930.xml	1	
0000018230-18-000293	18230	CATERPILLAR INC	3531	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	2245514000	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181031	2018-10-31 12:14:00.0	0	1	cat-20180930.xml	1	
0000018255-18-000064	18255	CATO CORP	5621	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		7045517352	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		US	DE	560484485	CATO STORES INC	19701002	2-ACC	0	0131	10-Q	20181031	2018	Q3	20181130	2018-11-30 10:58:00.0	0	1	cato-20181103.xml	1	
0000018349-18-000047	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500	7066495292	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500	US	GA	581134883	CB&T BANCSHARES INC	19890912	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 15:43:00.0	0	1	syn-20180930.xml	1	
0000018498-18-000048	18498	GENESCO INC	5661	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		6153677000	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		US	TN	620211340			1-LAF	0	0131	10-Q	20181031	2019	Q3	20181213	2018-12-13 16:07:00.0	0	1	gco-20181103.xml	1	
0000018926-18-000029	18926	CENTURYLINK, INC	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYTEL INC	19990602	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 16:28:00.0	0	1	ctl-20180930.xml	1	
0000019446-18-000066	19446	CANTEL MEDICAL CORP	3841	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	973-890-7220	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	US	DE	221760285	CANTEL INDUSTRIES INC	19920703	1-LAF	0	0731	10-Q	20181031	2019	Q1	20181130	2018-11-30 13:57:00.0	0	1	cmd-20181031.xml	1	
0000019612-18-000161	19612	CHEMICAL FINANCIAL CORP	6022	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	800-867-9757	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	US	MI	382022454			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 13:30:00.0	0	1	chfc-20180930.xml	1	
0000019617-18-000206	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	270 PARK AVE	38TH FL	2122706000	US	NY	NEW YORK	10017	270 PARK AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181031	2018-10-31 16:36:00.0	0	1	corpq32018_htm.xml	1	
0000020212-18-000042	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	5026364400	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	US	KY	610156015	CHURCHILL DOWNS INC	19920703	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181031	2018-10-31 17:31:00.0	0	1	chdn-20180930.xml	1	
0000020286-18-000074	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 16:17:00.0	0	1	cinf-20180930.xml	1	
0000020520-18-000036	20520	FRONTIER COMMUNICATIONS CORP	4813	US	CT	NORWALK	06851	401 MERRITT 7		2036145600	US	CT	NORWALK	06851	401 MERRITT 7		US	DE	060619596	CITIZENS COMMUNICATIONS CO	20000619	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 16:05:00.0	0	1	ftr-20180930.xml	1	
0000020629-18-000105	20629	CSS INDUSTRIES INC	2771	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	610-729-3959	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	US	DE	131920657	CITY STORES CO	19851212	2-ACC	0	0331	10-Q	20180930	2019	Q2	20181102	2018-11-02 16:25:00.0	0	1	css-20180930.xml	1	
0000021076-18-000015	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	0	0630	10-Q	20180930	2019	Q1	20181031	2018-10-31 16:16:00.0	0	1	clx-20180930.xml	1	
0000021175-18-000115	21175	CNA FINANCIAL CORP	6331	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	3128225000	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	US	DE	366169860			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-05 10:59:00.0	0	1	cna-20180930.xml	1	
0000021344-18-000042	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181030	2018-10-30 13:25:00.0	0	1	ko-20180928.xml	1	
